weather_severity,rain_intensity,visibility,wind_severity,night_indicator,road_disruption,historical_incident_density,distance_to_emergency_service,nearby_service_density,tourist_area_indicator,area_activity_level,route_condition,time_of_day,risk_score
8.63,0.0,8.77,11.35,0.0,7.08,1.139,7.04,0.71,0.0,5.6,81.51,2.0,21.6
48.78,0.0,10.02,28.32,0.0,5.94,0.751,13.35,2.53,0.0,6.35,80.03,8.0,22.2
21.42,0.0,8.52,10.44,1.0,62.23,1.399,5.83,5.52,0.0,8.56,46.68,2.0,46.2
16.52,0.0,8.63,8.15,0.0,3.17,0.267,1.87,6.2,0.0,6.18,55.4,8.0,18.0
15.75,0.0,6.41,6.53,0.0,14.33,0.816,2.68,7.97,0.0,1.34,100.0,4.0,12.4
6.88,0.0,12.18,13.11,0.0,11.65,0.65,13.49,5.45,1.0,6.92,94.81,4.0,15.3
48.09,1.91,9.54,26.03,0.0,5.77,1.257,4.31,6.27,0.0,6.03,66.5,8.0,22.9
9.31,0.0,11.16,9.75,0.0,5.25,2.807,2.9,5.2,0.0,7.48,55.77,2.0,26.7
23.27,4.38,4.87,10.43,0.0,73.09,0.635,6.45,6.92,0.0,5.79,63.55,4.0,37.8
44.18,0.0,8.38,41.78,1.0,1.91,1.422,12.81,2.47,1.0,7.59,93.3,2.0,49.7
7.25,8.49,5.89,11.04,0.0,4.34,1.269,5.24,3.44,1.0,8.45,77.01,8.0,29.2
24.26,0.0,9.82,18.99,0.0,7.06,1.457,7.78,4.76,1.0,7.7,60.06,4.0,23.5
28.26,0.0,8.8,13.04,0.0,17.5,0.845,25.38,4.97,1.0,5.2,67.54,4.0,26.2
23.04,0.0,9.35,7.24,0.0,38.34,0.423,13.83,2.25,1.0,9.35,65.75,4.0,23.3
33.05,0.0,6.58,12.15,0.0,1.65,1.179,7.85,1.47,1.0,5.54,98.85,4.0,25.0
14.35,1.54,6.31,12.24,1.0,11.12,0.65,5.98,2.97,0.0,1.79,50.95,2.0,35.9
21.74,3.9,6.6,7.34,1.0,16.73,1.139,16.15,3.36,1.0,7.64,69.89,2.0,45.3
37.29,7.3,7.62,24.17,0.0,10.89,0.734,31.35,5.72,0.0,3.57,82.41,2.0,32.8
34.2,0.0,7.49,17.43,0.0,9.25,1.336,17.67,0.42,0.0,5.32,50.01,4.0,31.9
22.1,0.0,8.84,13.5,0.0,17.85,2.177,7.74,10.0,1.0,4.16,57.76,2.0,20.7
30.61,8.31,5.04,8.28,0.0,14.69,0.628,3.38,3.04,1.0,7.26,83.41,4.0,27.7
11.1,0.0,8.65,11.36,0.0,10.18,1.124,2.83,1.4,0.0,4.27,74.56,4.0,18.5
28.19,0.0,10.94,17.49,1.0,3.51,0.94,12.61,2.0,1.0,6.71,81.34,2.0,40.3
25.4,0.0,8.9,9.7,0.0,3.56,1.453,3.38,4.66,0.0,5.28,92.3,2.0,14.6
74.64,4.32,7.03,24.19,0.0,4.74,0.925,4.64,2.89,0.0,4.56,67.4,2.0,29.3
8.3,0.0,9.56,12.33,1.0,88.12,0.179,6.7,4.55,1.0,5.57,89.67,2.0,40.0
42.88,0.0,6.69,14.4,0.0,10.94,0.892,2.89,4.09,1.0,4.51,96.55,8.0,21.3
37.06,0.0,11.15,14.68,1.0,40.34,1.468,3.12,5.2,0.0,5.91,62.18,2.0,44.7
4.6,0.0,9.58,5.43,1.0,88.84,0.657,2.14,4.71,0.0,3.59,68.53,2.0,40.5
26.89,0.0,8.55,20.97,0.0,10.37,0.439,9.68,5.87,1.0,3.92,73.59,8.0,20.0
48.45,0.0,8.92,33.34,0.0,12.21,1.348,8.88,8.61,0.0,4.03,40.07,8.0,33.1
29.54,0.0,10.0,17.88,0.0,17.15,0.802,10.92,4.09,0.0,3.63,95.84,4.0,14.4
51.75,18.22,2.77,19.63,0.0,5.51,0.961,16.86,2.67,0.0,3.88,51.79,2.0,43.0
36.74,0.0,8.01,25.33,1.0,5.56,1.134,3.17,7.0,1.0,8.89,85.01,2.0,31.4
23.74,0.0,12.76,7.35,1.0,19.86,2.165,1.73,5.83,0.0,3.12,66.03,2.0,39.4
2.22,0.0,12.24,8.96,1.0,1.25,0.252,5.39,4.73,0.0,8.47,48.39,2.0,18.5
40.62,4.61,7.02,32.3,0.0,9.76,1.002,7.81,5.38,1.0,6.97,88.0,2.0,30.0
37.62,0.0,9.33,14.13,0.0,18.57,1.778,0.38,3.76,0.0,4.15,79.15,4.0,21.7
64.29,2.38,6.13,28.94,0.0,10.99,2.572,14.71,7.93,1.0,9.5,55.5,2.0,39.8
53.18,13.05,6.55,30.37,0.0,11.6,2.142,6.05,7.05,0.0,4.68,46.06,2.0,44.7
19.1,3.26,7.12,14.92,0.0,5.37,0.444,15.36,5.55,0.0,4.04,71.25,4.0,17.7
40.9,8.39,5.82,13.99,0.0,14.69,0.939,6.48,4.26,0.0,4.6,72.16,4.0,27.3
30.21,0.0,6.91,12.99,0.0,78.23,0.787,0.49,1.11,0.0,10.0,71.11,2.0,35.2
17.48,0.0,11.84,18.79,0.0,9.31,0.394,7.19,6.7,0.0,0.0,28.43,2.0,15.4
26.48,13.27,5.65,20.79,0.0,17.31,0.998,6.51,5.19,1.0,7.02,91.49,8.0,31.0
33.07,0.0,10.29,17.8,0.0,0.69,0.669,1.16,7.14,0.0,7.23,66.16,2.0,19.6
17.82,0.0,7.6,5.33,0.0,16.83,0.558,27.03,1.86,1.0,7.86,78.15,4.0,17.2
39.59,0.0,6.72,12.06,0.0,19.16,4.796,16.39,4.64,0.0,5.85,64.93,8.0,41.3
28.0,0.0,8.94,15.16,0.0,17.0,0.754,13.53,4.47,0.0,6.67,81.94,4.0,16.8
53.7,0.0,4.79,17.94,0.0,1.75,1.552,25.15,0.87,0.0,6.54,45.91,2.0,50.6
25.63,1.5,9.38,9.19,1.0,12.73,0.624,2.59,1.68,1.0,6.53,44.62,2.0,43.1
8.99,0.0,8.46,5.07,0.0,1.49,0.393,8.37,5.58,0.0,6.63,79.91,8.0,12.7
32.47,3.39,6.52,50.08,0.0,1.35,0.719,9.04,10.0,0.0,5.21,93.09,2.0,18.1
38.13,2.12,6.07,20.6,0.0,1.55,0.903,17.62,7.83,0.0,5.61,77.29,2.0,22.4
19.48,0.0,12.36,19.15,1.0,2.86,1.075,2.42,0.98,0.0,3.11,52.05,2.0,38.1
30.16,4.95,7.43,14.62,0.0,10.72,1.171,6.45,5.41,0.0,3.64,91.09,8.0,17.5
11.48,8.74,7.45,22.1,0.0,14.93,0.756,13.08,3.43,1.0,5.91,69.09,8.0,29.9
21.44,0.0,10.1,18.61,1.0,3.26,0.264,18.16,6.43,1.0,5.33,63.5,2.0,38.3
16.84,0.0,6.81,14.44,0.0,34.51,1.725,3.76,5.25,1.0,4.78,72.99,8.0,30.2
25.06,1.07,10.39,16.68,1.0,89.84,0.412,10.06,3.6,0.0,6.78,56.28,2.0,48.4
33.55,0.0,7.92,12.46,0.0,8.51,1.646,7.95,6.82,0.0,3.57,51.5,4.0,24.6
62.03,0.0,4.37,19.32,1.0,39.08,1.33,4.55,5.13,0.0,2.77,71.2,2.0,50.4
7.7,0.0,7.71,12.81,0.0,11.15,1.283,2.54,5.55,1.0,7.38,51.87,4.0,15.0
67.12,10.3,3.56,34.33,0.0,19.43,2.483,15.65,4.99,1.0,5.18,81.22,4.0,53.4
24.02,0.0,8.44,29.07,1.0,5.66,2.01,16.52,5.02,0.0,6.19,68.28,2.0,38.8
16.04,0.0,6.93,19.38,0.0,11.4,0.934,12.88,5.21,1.0,7.63,67.85,4.0,20.5
49.46,0.0,5.71,37.5,0.0,16.86,1.683,4.22,7.9,0.0,5.87,82.7,2.0,29.2
54.71,13.4,6.34,35.82,0.0,54.22,1.136,6.8,6.96,1.0,5.2,42.2,8.0,50.4
60.7,1.19,7.12,22.88,0.0,0.3,1.177,12.3,7.59,0.0,3.96,66.04,8.0,32.1
60.17,9.73,8.45,44.82,0.0,7.04,1.092,4.19,0.52,0.0,6.02,84.64,2.0,33.7
5.97,0.0,11.15,10.59,1.0,14.07,1.641,1.59,5.95,1.0,3.8,62.59,2.0,34.6
34.46,0.0,8.09,17.17,0.0,3.74,1.415,12.24,2.69,1.0,7.67,2.08,8.0,38.2
30.04,5.95,8.38,21.87,0.0,13.33,1.4,2.67,5.41,1.0,7.04,71.02,2.0,28.5
46.4,4.5,4.25,34.62,0.0,45.39,0.924,11.1,7.6,0.0,7.56,75.82,8.0,45.9
25.89,0.0,9.62,11.3,1.0,13.42,1.668,1.28,2.63,1.0,3.8,77.02,2.0,41.0
35.48,0.0,8.76,17.93,0.0,10.0,1.768,8.45,5.51,1.0,6.0,77.48,4.0,23.3
14.23,0.0,10.48,11.19,0.0,14.05,0.291,27.62,3.79,1.0,7.26,60.53,2.0,25.0
44.77,0.0,7.04,14.57,0.0,0.56,3.041,16.78,7.21,0.0,7.56,55.58,2.0,33.8
1.68,0.0,8.35,5.24,1.0,68.07,0.537,8.77,5.48,0.0,6.53,69.71,2.0,32.4
18.59,0.0,7.86,8.21,0.0,11.6,1.32,14.68,4.31,1.0,5.72,68.67,2.0,20.3
12.29,0.0,11.5,16.86,0.0,13.37,0.454,4.17,4.46,0.0,5.37,61.86,2.0,11.0
32.04,0.22,8.58,15.32,0.0,16.31,0.82,8.46,5.63,0.0,6.77,59.74,2.0,25.0
7.33,0.0,5.79,8.07,0.0,84.45,1.981,0.64,8.8,1.0,8.65,59.43,4.0,36.8
10.36,0.0,9.98,15.11,1.0,3.2,0.42,12.77,5.58,1.0,9.42,74.14,2.0,33.7
16.53,6.14,6.84,16.93,0.0,3.15,1.144,12.12,6.1,1.0,4.8,58.54,4.0,28.3
37.48,9.74,8.88,31.53,0.0,3.15,0.97,13.9,7.13,0.0,8.78,69.74,8.0,27.7
32.88,0.0,9.09,9.03,1.0,39.73,0.4,9.91,4.62,0.0,3.18,36.84,2.0,42.4
30.32,0.0,10.57,26.42,0.0,18.4,1.509,20.57,2.83,1.0,7.46,77.85,4.0,25.6
24.23,0.0,10.35,9.22,0.0,30.46,1.804,11.64,5.24,0.0,3.88,70.44,4.0,22.8
55.13,5.07,8.61,25.56,0.0,2.27,1.228,5.0,7.01,1.0,6.87,72.86,4.0,19.8
22.43,0.0,10.6,8.51,1.0,14.25,1.648,11.62,4.84,1.0,6.35,62.42,2.0,36.5
49.38,0.0,9.15,27.56,1.0,7.33,0.988,10.88,2.71,1.0,10.0,95.95,2.0,38.0
16.71,0.0,7.11,9.38,0.0,4.11,0.704,4.53,6.49,1.0,4.51,60.21,8.0,17.0
34.61,0.0,5.67,22.07,1.0,83.73,1.811,10.18,8.91,1.0,3.39,30.44,2.0,56.9
17.89,0.0,6.8,8.88,1.0,16.95,0.73,3.13,5.13,1.0,4.94,59.45,2.0,32.1
46.8,0.0,9.06,12.97,1.0,93.69,2.231,3.81,3.23,0.0,2.93,33.72,2.0,54.7
38.9,0.0,3.39,14.27,1.0,90.85,2.708,4.6,7.32,1.0,8.04,2.74,2.0,78.1
51.3,0.0,7.43,25.63,0.0,2.05,1.146,11.13,7.04,1.0,6.62,100.0,8.0,25.7
13.4,0.0,8.07,10.49,0.0,34.99,1.423,1.45,6.3,0.0,5.69,53.52,4.0,24.0
19.38,8.32,9.87,21.52,0.0,8.26,2.164,31.68,5.54,0.0,5.56,88.72,2.0,26.8
15.34,0.0,8.31,11.94,0.0,10.07,0.311,25.88,5.41,1.0,5.34,74.92,8.0,17.2
6.78,0.0,8.06,12.98,0.0,38.04,0.578,5.08,8.42,0.0,3.63,85.31,4.0,16.0
10.05,0.0,11.33,4.15,0.0,10.64,1.184,7.01,6.61,0.0,2.75,52.27,4.0,19.9
27.68,3.73,7.54,19.77,0.0,11.4,1.276,9.95,4.88,1.0,8.41,100.0,2.0,24.3
17.76,17.34,5.88,22.62,0.0,1.69,1.335,3.95,5.91,1.0,4.37,50.78,8.0,31.4
27.39,0.98,7.08,9.12,0.0,4.19,0.951,6.06,4.65,0.0,0.82,72.55,2.0,23.6
19.5,3.27,8.59,38.14,0.0,83.06,0.894,11.59,4.56,0.0,3.45,49.64,4.0,38.9
16.51,3.33,7.44,15.03,0.0,18.06,1.625,8.95,4.51,1.0,9.87,87.85,8.0,27.5
31.13,12.98,5.85,15.06,0.0,18.79,1.51,1.76,6.57,1.0,5.21,76.66,4.0,26.8
16.2,17.89,9.27,10.47,1.0,11.35,0.169,14.75,4.57,0.0,4.55,32.83,2.0,43.4
18.36,0.0,8.55,19.61,0.0,11.46,1.509,25.1,4.92,0.0,2.69,63.56,4.0,16.0
8.23,0.0,7.86,8.92,1.0,10.65,0.804,13.02,5.5,1.0,4.04,92.54,2.0,28.3
15.56,0.0,6.54,13.41,1.0,5.82,1.13,4.68,6.73,0.0,3.18,55.42,2.0,31.2
35.15,0.0,8.34,27.13,0.0,9.12,0.386,4.67,7.79,1.0,7.92,62.44,4.0,16.7
42.42,0.0,6.61,18.65,0.0,11.4,1.521,4.92,3.64,0.0,1.38,67.64,4.0,23.9
36.16,0.0,7.18,30.15,0.0,49.73,0.399,11.34,6.21,1.0,10.0,54.83,4.0,32.2
46.81,24.81,2.92,13.02,0.0,6.89,1.945,10.24,6.32,0.0,1.55,91.11,2.0,45.7
4.67,0.0,9.25,13.36,0.0,4.17,1.416,11.4,5.4,0.0,3.3,57.71,4.0,14.7
19.61,0.0,5.81,10.27,0.0,2.97,0.488,10.68,1.23,1.0,4.66,70.54,4.0,29.0
11.41,0.0,9.48,15.48,0.0,6.34,0.536,34.1,4.95,1.0,5.79,83.32,4.0,19.7
16.65,7.13,6.55,11.33,0.0,10.11,0.781,13.08,5.45,0.0,8.15,73.83,4.0,18.3
3.22,0.0,10.34,23.07,0.0,19.7,0.746,1.35,7.87,0.0,4.23,82.43,8.0,10.1
14.92,9.9,8.33,19.56,1.0,43.7,1.254,0.99,7.7,1.0,5.98,56.63,2.0,38.9
23.65,0.0,8.5,11.48,0.0,0.98,0.512,1.44,6.44,1.0,8.17,61.26,4.0,13.8
30.65,0.0,9.77,12.78,0.0,47.94,0.865,7.84,10.0,0.0,3.04,65.63,8.0,19.1
36.63,3.1,10.64,21.22,0.0,69.6,1.735,5.71,6.23,0.0,5.07,57.54,2.0,37.9
14.23,0.0,11.11,11.2,0.0,19.09,0.217,3.26,3.97,1.0,9.81,68.47,2.0,18.6
49.47,4.66,4.34,23.01,0.0,80.86,1.84,0.55,7.11,1.0,8.33,58.73,2.0,47.8
56.47,0.0,6.1,28.16,0.0,15.73,0.788,16.49,4.72,0.0,5.59,73.6,8.0,28.5
61.81,0.0,6.18,34.17,0.0,12.36,2.099,5.73,5.96,0.0,5.51,71.28,2.0,32.0
56.17,0.0,8.59,20.69,1.0,19.27,0.821,20.3,2.99,1.0,5.8,77.41,2.0,46.2
25.06,0.0,7.2,10.01,0.0,47.07,0.582,7.34,3.84,0.0,2.3,56.81,4.0,19.9
22.75,0.0,7.19,28.16,0.0,13.56,0.912,4.39,1.77,0.0,6.29,80.79,4.0,17.3
9.08,0.0,7.26,20.59,0.0,88.13,0.956,3.74,5.05,1.0,6.81,50.45,2.0,31.4
39.59,0.0,8.41,22.7,1.0,11.16,0.99,3.04,3.57,0.0,6.32,100.0,2.0,27.1
27.7,0.0,9.44,21.73,0.0,4.74,0.718,9.32,10.0,1.0,10.0,91.17,2.0,18.1
58.66,1.1,4.68,23.17,1.0,18.99,1.765,3.46,7.74,0.0,7.8,99.52,2.0,48.7
15.49,0.0,7.51,18.3,0.0,11.02,0.461,7.76,4.02,1.0,6.97,67.98,4.0,24.0
29.61,0.0,4.32,32.82,1.0,16.16,1.491,23.15,3.36,0.0,5.39,51.72,2.0,48.1
22.07,0.0,3.55,8.77,1.0,8.05,0.714,1.51,3.49,1.0,4.92,20.6,2.0,42.5
24.38,0.0,9.24,10.29,0.0,61.05,1.392,3.86,3.25,1.0,5.6,42.17,2.0,35.7
61.58,0.0,7.78,31.29,0.0,15.76,0.797,4.36,2.95,0.0,4.09,69.4,4.0,32.6
10.79,0.0,9.02,29.28,1.0,12.68,0.939,8.6,4.85,1.0,7.73,94.01,2.0,26.7
20.29,0.0,11.57,35.74,0.0,15.31,0.425,6.77,3.57,1.0,6.36,57.27,2.0,26.8
24.02,0.0,4.93,9.79,0.0,16.38,0.74,6.94,2.71,0.0,5.35,59.91,2.0,22.9
31.78,10.19,2.66,11.79,0.0,17.09,1.326,17.42,7.78,0.0,4.34,79.88,8.0,44.0
13.89,7.5,5.44,7.22,1.0,92.23,0.759,4.57,3.79,1.0,5.46,19.72,2.0,55.6
37.62,0.0,3.63,18.38,1.0,14.06,2.38,2.48,3.75,0.0,6.19,81.8,2.0,55.1
21.63,6.54,6.34,6.57,0.0,19.38,0.685,5.86,8.62,1.0,7.53,88.22,8.0,14.6
45.32,3.75,8.36,31.17,0.0,11.45,1.542,11.23,9.1,0.0,3.58,98.58,2.0,41.4
8.12,39.82,4.57,20.76,0.0,0.17,0.42,3.17,7.0,0.0,5.7,73.78,4.0,25.0
2.46,0.0,10.98,11.66,0.0,33.17,2.085,0.65,5.51,1.0,6.0,65.62,4.0,27.9
20.93,7.16,8.26,10.54,0.0,15.4,1.822,34.83,3.45,0.0,6.74,76.11,4.0,33.4
30.15,0.0,7.29,12.14,0.0,0.92,1.145,4.9,7.32,0.0,8.1,86.05,4.0,19.6
10.0,0.0,7.65,17.73,0.0,13.65,0.88,7.98,3.86,0.0,3.97,86.54,4.0,19.4
42.01,2.1,8.36,33.8,0.0,17.82,1.003,8.21,1.85,0.0,5.52,68.8,4.0,36.9
42.19,19.9,2.29,15.81,0.0,11.22,1.465,6.38,4.07,0.0,6.01,59.18,8.0,46.4
11.09,0.0,2.31,26.6,0.0,4.66,1.557,2.21,2.56,0.0,4.71,54.26,4.0,38.0
24.33,0.0,9.05,19.11,1.0,18.57,0.384,4.19,3.23,0.0,3.3,74.6,2.0,31.0
11.37,7.65,8.21,27.17,0.0,10.12,1.038,10.42,8.08,1.0,7.18,76.07,8.0,24.4
36.07,0.0,11.06,15.66,0.0,3.58,0.374,3.13,8.22,0.0,6.28,57.46,8.0,18.7
6.94,0.0,10.18,4.06,0.0,8.25,1.132,18.52,3.46,0.0,1.98,67.53,2.0,17.6
8.57,7.97,8.4,26.49,0.0,15.34,1.061,4.62,3.54,1.0,6.43,100.0,2.0,18.0
12.12,0.0,8.01,7.85,0.0,11.51,0.3,8.23,3.1,1.0,9.02,93.87,2.0,12.9
26.42,0.0,6.59,26.81,0.0,11.22,0.513,20.94,8.86,0.0,6.87,100.0,2.0,17.7
11.33,0.0,8.1,3.39,0.0,73.09,0.673,1.73,8.42,1.0,4.35,73.72,4.0,24.4
36.65,0.0,9.81,18.6,0.0,8.4,0.65,4.09,3.57,1.0,3.88,96.71,2.0,22.7
37.21,0.0,8.81,22.45,0.0,13.74,0.451,5.26,7.42,0.0,7.18,56.07,4.0,11.2
57.68,4.56,8.59,25.34,1.0,3.41,0.79,5.6,5.57,1.0,3.22,90.17,2.0,35.5
19.52,0.0,8.63,15.99,0.0,19.63,1.581,1.47,5.93,0.0,3.47,75.55,2.0,11.7
23.55,0.0,6.49,14.17,0.0,0.54,1.21,8.9,6.38,0.0,6.65,89.67,2.0,19.2
52.38,6.48,8.97,20.77,0.0,5.25,1.307,9.29,4.53,0.0,7.57,71.16,4.0,22.9
5.65,0.0,10.97,13.54,1.0,0.7,0.892,8.9,4.34,1.0,4.89,50.17,2.0,27.4
15.2,0.0,8.91,26.56,0.0,5.12,0.702,13.08,8.64,1.0,7.53,59.8,4.0,17.1
50.14,0.0,8.61,17.33,0.0,6.21,0.605,1.28,5.03,0.0,7.29,97.64,4.0,10.8
29.94,0.0,9.1,23.28,0.0,9.6,0.965,7.2,5.89,0.0,4.24,52.19,2.0,22.7
19.9,5.64,6.79,7.39,0.0,17.27,0.252,5.99,9.15,1.0,6.01,73.65,4.0,18.1
8.65,0.0,8.22,16.13,0.0,6.01,0.699,2.13,6.18,0.0,8.35,65.05,2.0,10.1
19.04,0.0,6.61,10.57,0.0,4.04,0.532,3.67,5.23,0.0,4.67,89.5,4.0,15.7
10.33,0.0,8.16,6.62,0.0,4.08,0.395,3.59,4.16,0.0,0.35,43.1,2.0,9.6
43.99,0.0,9.74,22.91,1.0,81.01,1.538,2.41,3.46,0.0,5.27,47.15,2.0,54.2
27.46,0.0,9.86,32.49,0.0,2.97,0.801,8.69,5.64,0.0,6.09,42.59,8.0,34.7
21.93,0.0,9.46,8.91,0.0,5.94,3.587,4.25,3.66,1.0,9.14,58.77,4.0,33.8
32.08,14.22,8.25,10.73,0.0,4.61,1.357,11.35,4.39,1.0,8.41,83.95,4.0,28.7
11.64,0.0,7.92,12.25,0.0,1.56,1.7,13.31,1.07,0.0,5.81,38.5,2.0,27.9
29.58,0.0,5.77,11.62,0.0,19.18,1.763,15.8,6.01,0.0,3.32,50.01,4.0,44.3
21.02,3.95,7.58,14.87,0.0,1.55,0.771,1.28,3.28,0.0,8.11,55.36,2.0,16.9
39.76,8.55,6.63,16.5,0.0,14.75,1.152,0.41,9.36,1.0,6.73,62.25,8.0,27.4
25.92,2.78,9.24,9.23,0.0,5.32,0.961,2.76,3.3,0.0,6.64,60.38,8.0,24.7
30.31,0.0,9.11,12.44,1.0,11.06,0.473,6.56,4.28,1.0,8.73,70.62,2.0,32.8
58.36,8.36,8.27,35.0,0.0,0.03,2.007,4.38,4.93,1.0,8.21,83.58,2.0,34.4
1.65,0.0,4.92,7.73,0.0,0.15,0.614,10.72,4.2,0.0,4.24,37.28,8.0,28.9
6.68,0.0,7.2,10.67,1.0,90.84,0.537,5.59,1.12,0.0,7.84,63.61,2.0,44.6
12.17,0.0,8.45,7.09,0.0,14.08,0.399,10.86,5.21,0.0,5.2,63.62,8.0,15.5
5.94,0.0,9.78,13.33,0.0,19.45,2.376,2.51,6.14,0.0,5.58,72.26,4.0,27.4
15.05,0.0,12.74,20.12,0.0,9.04,0.862,7.91,4.38,1.0,8.62,61.8,2.0,18.4
3.36,0.0,6.94,11.13,0.0,13.6,1.034,2.42,4.54,0.0,4.83,88.08,2.0,14.5
11.99,0.0,7.22,10.0,0.0,11.34,0.716,4.43,4.34,1.0,9.12,63.46,2.0,12.4
45.99,3.83,6.31,30.2,0.0,18.79,1.116,4.58,3.26,0.0,5.69,92.65,4.0,32.8
11.07,0.0,7.18,12.05,0.0,11.23,0.455,2.89,3.7,1.0,6.24,96.0,2.0,14.3
34.95,0.0,6.18,31.07,1.0,5.49,0.672,12.86,8.41,1.0,8.11,64.83,2.0,33.4
53.47,0.0,7.49,28.03,0.0,14.1,0.879,2.37,6.09,1.0,5.02,76.12,8.0,27.6
26.76,0.0,10.16,13.53,0.0,17.2,2.198,1.15,6.91,0.0,5.34,71.44,4.0,27.5
6.48,0.0,9.04,3.34,1.0,16.97,2.172,2.06,3.92,0.0,4.57,71.95,2.0,32.7
38.07,0.0,6.14,24.5,1.0,51.88,1.308,7.73,7.17,0.0,6.46,25.19,2.0,49.8
10.06,6.79,7.49,24.96,0.0,1.84,1.059,6.1,7.63,0.0,6.53,16.7,8.0,28.7
19.11,0.0,6.35,8.08,0.0,9.3,0.605,2.98,4.25,0.0,3.8,71.06,4.0,17.2
56.49,0.0,9.27,22.62,0.0,65.76,1.648,3.19,10.0,1.0,5.39,78.68,8.0,40.1
7.02,0.0,11.73,16.6,0.0,19.69,1.067,7.81,3.03,0.0,7.78,74.49,4.0,23.8
33.36,0.0,4.81,15.24,0.0,2.95,1.303,17.53,2.51,0.0,8.3,80.03,4.0,28.5
23.13,0.0,8.76,15.18,1.0,9.18,0.39,0.44,3.29,0.0,10.0,73.9,2.0,27.5
24.76,0.0,6.7,35.44,0.0,14.62,2.653,8.88,4.05,1.0,6.22,69.12,4.0,36.9
15.42,0.0,8.66,15.55,0.0,1.29,0.778,9.86,6.7,0.0,3.84,88.01,2.0,8.0
49.55,0.0,7.34,16.61,0.0,17.87,0.879,4.21,3.56,1.0,4.95,59.47,8.0,30.9
29.13,0.0,5.44,16.55,0.0,14.13,0.927,8.41,0.74,1.0,6.64,83.87,4.0,31.0
41.38,0.0,10.18,19.75,0.0,2.73,0.767,15.51,3.83,1.0,3.97,65.4,8.0,30.4
6.18,0.0,8.51,4.91,0.0,13.71,0.804,9.09,4.35,0.0,4.12,67.31,4.0,14.0
1.14,0.0,8.03,38.14,0.0,12.73,0.868,24.25,5.91,1.0,7.22,92.28,8.0,27.1
41.55,10.89,6.68,10.74,1.0,2.42,1.553,3.86,0.0,0.0,1.67,72.74,2.0,56.8
27.99,0.0,6.42,8.75,0.0,19.29,0.585,2.35,4.32,1.0,7.25,75.76,4.0,19.5
6.68,0.0,8.43,4.94,0.0,10.15,0.551,19.22,4.91,0.0,7.15,85.42,4.0,23.6
36.83,0.0,4.22,10.98,0.0,10.71,0.883,12.7,5.14,0.0,5.72,24.22,8.0,33.8
47.17,0.0,2.87,12.84,0.0,13.68,0.839,10.97,6.61,0.0,6.6,75.19,2.0,25.1
18.75,0.0,6.5,33.99,0.0,4.02,2.231,3.64,2.96,0.0,3.38,71.55,4.0,27.6
44.0,0.0,6.62,26.62,0.0,11.88,0.976,1.76,4.72,0.0,1.85,41.93,4.0,29.5
47.22,0.0,4.07,31.17,0.0,6.52,2.05,10.01,5.2,0.0,7.17,62.05,4.0,36.9
17.55,0.0,7.48,10.86,0.0,59.46,1.156,4.63,4.39,0.0,5.61,67.08,4.0,26.4
48.17,0.0,6.49,35.29,0.0,17.92,1.6,8.65,5.92,1.0,6.67,49.66,2.0,39.2
25.4,0.0,8.12,21.34,0.0,15.13,0.596,14.64,2.95,1.0,6.93,72.32,4.0,16.9
43.81,0.0,8.91,17.16,0.0,69.82,1.782,5.83,6.06,1.0,4.88,45.39,4.0,38.8
59.87,2.62,10.31,28.67,1.0,9.42,1.27,9.82,4.47,1.0,7.63,55.22,2.0,41.7
10.98,5.02,8.92,4.8,1.0,38.39,0.387,9.01,6.71,0.0,5.57,53.57,2.0,31.9
16.43,0.0,6.54,16.13,0.0,7.23,0.44,12.63,7.55,1.0,7.53,82.98,2.0,22.8
63.47,0.0,8.43,23.7,0.0,64.99,0.643,4.26,6.92,0.0,4.1,85.18,2.0,31.2
23.71,0.0,11.09,34.97,1.0,4.37,1.326,3.11,2.13,1.0,7.82,79.87,2.0,47.1
31.41,0.0,5.82,28.38,0.0,1.44,0.847,6.84,3.58,0.0,5.63,60.3,8.0,25.5
27.11,0.0,6.06,8.78,0.0,1.52,1.258,2.1,5.52,1.0,7.57,78.91,8.0,29.9
12.13,7.11,4.94,6.71,0.0,3.5,1.713,10.71,4.25,0.0,4.9,83.36,8.0,31.9
44.23,6.37,5.78,50.13,0.0,8.23,0.513,31.19,3.63,1.0,6.83,66.96,4.0,30.8
33.52,0.0,8.74,14.82,0.0,11.23,0.846,4.1,6.89,0.0,4.45,51.37,8.0,19.2
27.16,0.0,11.15,8.73,1.0,10.6,0.417,8.52,2.64,1.0,7.18,100.0,2.0,37.4
8.77,0.0,10.52,18.43,0.0,8.53,0.549,17.13,1.42,0.0,2.06,63.32,8.0,21.6
12.02,0.0,9.41,28.92,0.0,17.39,0.339,4.07,2.88,0.0,5.06,66.29,4.0,13.8
20.49,0.0,8.48,12.65,1.0,16.55,2.261,3.3,5.77,0.0,4.57,56.88,2.0,32.7
53.26,0.0,8.19,26.63,0.0,7.84,0.978,17.6,8.2,1.0,10.0,99.74,8.0,18.4
56.75,0.0,8.2,22.76,1.0,10.18,2.911,3.86,9.07,0.0,2.83,92.12,2.0,47.5
22.64,0.0,10.93,22.07,1.0,17.71,1.228,8.56,4.44,1.0,4.38,73.99,2.0,32.6
6.31,0.0,8.77,5.78,0.0,48.88,1.119,9.43,2.89,1.0,5.65,81.02,2.0,28.5
